evidence_id,garden_id,company_id,contact_id,evidence_type,event_type,title,url,publisher,published_date,retrieved_date,language,supports_active,supports_inactive,ownership_from,ownership_to,relationship,excerpt,confidence,manual_review,notes
goodricke-aibheel-20260902,gs-dooars-aibheel,,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,Aibheel is included in the current 12-garden Dooars list.,high,no,Observation date used because the live page has no publication date.
goodricke-chalouni-20260902,gs-dooars-chalouni,,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,Chalouni is included in the current 12-garden Dooars list.,high,no,Observation date used because the live page has no publication date.
goodricke-chulsa-20260902,gs-dooars-chulsa,,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,Chulsa is included in the current 12-garden Dooars list.,high,no,Observation date used because the live page has no publication date.
goodricke-danguajhar-20260902,gs-dooars-denguajhar,,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,Danguajhar is included in the current 12-garden Dooars list.,high,no,Linked to atlas spelling Denguajhar.
goodricke-gandrapara-20260902,gs-dooars-gandrapara,,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,Gandrapara is included in the current 12-garden Dooars list.,high,no,Observation date used because the live page has no publication date.
goodricke-hope-20260902,gs-dooars-hope,,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,Hope is included in the current 12-garden Dooars list.,high,no,Observation date used because the live page has no publication date.
goodricke-jiti-20260902,gs-dooars-jiti,,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,Jiti is included in the current 12-garden Dooars list.,high,no,Observation date used because the live page has no publication date.
goodricke-kumargram-20260902,gs-dooars-kumargram,,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,Kumargram is included in the current 12-garden Dooars list.,high,no,Observation date used because the live page has no publication date.
goodricke-lakhipara-20260902,gs-dooars-lakhipara,,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,Lakhipara is included in the current 12-garden Dooars list.,high,no,Observation date used because the live page has no publication date.
goodricke-leesh-river-20260902,gs-dooars-lessriver,,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,Leesh River is included in the current 12-garden Dooars list.,high,no,Linked to atlas spelling Lessriver.
goodricke-meenglas-20260902,gs-dooars-meenglass,,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,Meenglas is included in the current 12-garden Dooars list.,high,no,Linked to atlas spelling Meenglass.
goodricke-sankos-20260902,gs-dooars-sankos,,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,Sankos is included in the current 12-garden Dooars list.,high,no,Observation date used because the live page has no publication date.
indong-operating-20260902,gs-dooars-indong,,,company,operating,Indong Tea Company current overview,https://indongteaco.com/overview.html,Indong Tea Company Limited,2026-09-02,2026-09-02,English,yes,no,,Indong Tea Company Limited,owner_and_operator,The company states that it has one garden named Indong Tea Estate producing CTC tea in Dooars.,high,no,Observation date used because the live page has no publication date.
commerce-dalsingpara-20250318,gs-dooars-dalsingpara,,,official,temporary_closure,Lok Sabha answer on closed tea gardens,https://sansad.in/getFile/loksabhaquestions/annex/184/AU2834_RhlaJE.pdf?source=pqals,Ministry of Commerce and Industry,2025-03-18,2026-09-02,English,no,yes,,,,no,,medium,Dalsingpara was reported closed with closure date 15 October 2023.
commerce-ramjhora-20250318,gs-dooars-ramjhora,,,official,temporary_closure,Lok Sabha answer on closed tea gardens,https://sansad.in/getFile/loksabhaquestions/annex/184/AU2834_RhlaJE.pdf?source=pqals,Ministry of Commerce and Industry,2025-03-18,2026-09-02,English,no,yes,,,,no,,medium,Ramjhora was reported closed with closure date 1 November 2023.
commerce-dheklapara-20250318,gs-dooars-dheklapara,,,official,temporary_closure,Lok Sabha answer on closed tea gardens,https://sansad.in/getFile/loksabhaquestions/annex/184/AU2834_RhlaJE.pdf?source=pqals,Ministry of Commerce and Industry,2025-03-18,2026-09-02,English,no,yes,,,,no,,medium,Dheklapara was reported closed with closure date 14 December 2023.
commerce-sonali-20250318,gs-dooars-sonali,,,official,temporary_closure,Lok Sabha answer on closed tea gardens,https://sansad.in/getFile/loksabhaquestions/annex/184/AU2834_RhlaJE.pdf?source=pqals,Ministry of Commerce and Industry,2025-03-18,2026-09-02,English,no,yes,,,,no,,medium,Sonali was reported closed with closure date 30 December 2023.
commerce-lankapara-20250318,gs-dooars-lankapara,,,official,temporary_closure,Lok Sabha answer on closed tea gardens,https://sansad.in/getFile/loksabhaquestions/annex/184/AU2834_RhlaJE.pdf?source=pqals,Ministry of Commerce and Industry,2025-03-18,2026-09-02,English,no,yes,,,,no,,medium,Lankapara was reported closed with closure date 28 January 2016.
commerce-raipur-20250318,gs-dooars-raipur,,,official,temporary_closure,Lok Sabha answer on closed tea gardens,https://sansad.in/getFile/loksabhaquestions/annex/184/AU2834_RhlaJE.pdf?source=pqals,Ministry of Commerce and Industry,2025-03-18,2026-09-02,English,no,yes,,,,no,,medium,Raipur was reported closed with closure date 12 September 2016.
news-dalmore-reopened-20250218,gs-dooars-dalmore,,,news,reopening,Tea industry response to closed-garden figures,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Millennium Post,2025-02-18,2026-09-02,English,yes,no,,,,yes,,medium,Dalmore was reported as reopened recently.
news-kalchini-reopened-20250218,gs-dooars-kalchini,,,news,reopening,Tea industry response to closed-garden figures,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Millennium Post,2025-02-18,2026-09-02,English,yes,no,,,,yes,,medium,Kalchini was reported as reopened recently.
news-raimatang-reopened-20250218,gs-dooars-raimatang,,,news,reopening,Tea industry response to closed-garden figures,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Millennium Post,2025-02-18,2026-09-02,English,yes,no,,,,yes,,medium,Raimatang was reported as reopened recently.
news-samsing-operating-20250218,gs-dooars-samsing,,,news,operating,Tea industry response to closed-garden figures,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Millennium Post,2025-02-18,2026-09-02,English,yes,no,,,,yes,,medium,Samsing was reported operational for years.
news-kumlai-operating-20250218,gs-dooars-kumlai,,,news,operating,Tea industry response to closed-garden figures,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Millennium Post,2025-02-18,2026-09-02,English,yes,no,,,,yes,,medium,Kumlai was reported operational for years.
news-manabari-operating-20250218,gs-dooars-manabarie,,,news,operating,Tea industry response to closed-garden figures,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Millennium Post,2025-02-18,2026-09-02,English,yes,no,,,,yes,,medium,Manabari was reported operational for years.
news-bamandanga-operating-20250218,gs-dooars-bamandanga-tondoo,,,news,operating,Tea industry response to closed-garden figures,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Millennium Post,2025-02-18,2026-09-02,English,yes,no,,,,yes,,low,Bamandanga was reported operational for years.
andrew-yule-banarhat-20260902,gs-dooars-banarhat,,,company,operating,Andrew Yule current West Bengal garden list,https://www.andrewyule.com/westbengal_garden.php,Andrew Yule & Company Limited,2026-09-02,2026-09-02,English,yes,no,,Andrew Yule & Company Limited,owner_or_operator,Banarhat is listed as a current Dooars tea estate.,high,no,Observation date used because the live page has no publication date.
andrew-yule-choonabhuti-20260902,gs-dooars-choonabhuti,,,company,operating,Andrew Yule current West Bengal garden list,https://www.andrewyule.com/westbengal_garden.php,Andrew Yule & Company Limited,2026-09-02,2026-09-02,English,yes,no,,Andrew Yule & Company Limited,owner_or_operator,Choonabhutti is listed as a current Dooars tea estate.,high,no,Linked to registry spelling Choonabhuti.
andrew-yule-karballa-20260902,gs-dooars-karballa,,,company,operating,Andrew Yule current West Bengal garden list,https://www.andrewyule.com/westbengal_garden.php,Andrew Yule & Company Limited,2026-09-02,2026-09-02,English,yes,no,,Andrew Yule & Company Limited,owner_or_operator,Karballa is listed as a current Dooars tea estate.,high,no,Observation date used because the live page has no publication date.
andrew-yule-new-dooars-20260902,gs-dooars-new-duars,,,company,operating,Andrew Yule current West Bengal garden list,https://www.andrewyule.com/westbengal_garden.php,Andrew Yule & Company Limited,2026-09-02,2026-09-02,English,yes,no,,Andrew Yule & Company Limited,owner_or_operator,New Dooars is listed as a current Dooars tea estate.,high,no,Registry normalizes Dooars to Duars for matching.
mcleod-central-dooars-20260902,gs-dooars-central-duars,,,company,operating,McLeod Russel current India garden list,https://www.mcleodrussel.com/business/india.aspx,McLeod Russel India Limited,2026-09-02,2026-09-02,English,yes,no,,McLeod Russel India Limited,owner_or_operator,Central Dooars is listed under Alipurduar with current area and crop details.,high,no,Observation date used because the live page has no publication date.
mcleod-mathura-20260902,gs-dooars-mathura,,,company,operating,McLeod Russel current India garden list,https://www.mcleodrussel.com/business/india.aspx,McLeod Russel India Limited,2026-09-02,2026-09-02,English,yes,no,,McLeod Russel India Limited,owner_or_operator,Mathura is listed under Alipurduar with current area and crop details.,high,no,Observation date used because the live page has no publication date.
dianatea-diana-20260902,gs-dooars-diana,,,company,operating,Diana Tea current Dooars garden list,https://www.dianatea.in/our-gardens.php,Diana Tea Company Limited,2026-09-02,2026-09-02,English,yes,no,,Diana Tea Company Limited,owner_and_operator,Diana is listed as the flagship tea garden of Diana Tea Company Limited in Dooars.,high,no,Observation date used because the live page has no publication date.
dianatea-baintgoorie-20260902,gs-dooars-baintgoorie,,,company,operating,Diana Tea current Dooars garden list,https://www.dianatea.in/our-gardens.php,Diana Tea Company Limited,2026-09-02,2026-09-02,English,yes,no,,Diana Tea Company Limited,owner_and_operator,Baintgoorie is listed as one of Diana Tea Company three gardens in Dooars.,high,no,Observation date used because the live page has no publication date.
dianatea-goodhope-20260902,gs-dooars-goodhope,,,company,operating,Diana Tea current Dooars garden list,https://www.dianatea.in/our-gardens.php,Diana Tea Company Limited,2026-09-02,2026-09-02,English,yes,no,,Diana Tea Company Limited,owner_and_operator,Goodhope is listed as one of Diana Tea Company three gardens in Dooars.,high,no,Observation date used because the live page has no publication date.
gillanders-gairkhata-20260902,gs-dooars-gairkhata,,,company,operating,Gillanders Arbuthnot current tea division overview,https://www.gillandersarbuthnot.com/tea-division/,Gillanders Arbuthnot & Co. Limited,2026-09-02,2026-09-02,English,yes,no,,Gillanders Arbuthnot & Co. Limited,owner_and_operator,Gairkhata Tea Estate and Hindupara division are listed as active CTC production gardens in Dooars.,high,no,Observation date used because the live page has no publication date.
rydak-rydak-20260902,gs-dooars-rydak,,,company,operating,Rydak Syndicate current tea estates list,https://www.rydaksyndicate.com/tea-estates/,Rydak Syndicate Limited,2026-09-02,2026-09-02,English,yes,no,,Rydak Syndicate Limited,owner_and_operator,Rydak Tea Estate is listed under Rydak Syndicate operations in Dooars.,high,no,Observation date used because the live page has no publication date.
rydak-kartick-20260902,gs-dooars-kartick,,,company,operating,Rydak Syndicate current tea estates list,https://www.rydaksyndicate.com/tea-estates/,Rydak Syndicate Limited,2026-09-02,2026-09-02,English,yes,no,,Rydak Syndicate Limited,owner_and_operator,Kartick Tea Estate is listed under Rydak Syndicate operations in Alipurduar/Dooars.,high,no,Observation date used because the live page has no publication date.
rydak-baradighi-20260902,gs-dooars-baradighi,,,company,operating,Rydak Syndicate current tea estates list,https://www.rydaksyndicate.com/tea-estates/,Rydak Syndicate Limited,2026-09-02,2026-09-02,English,yes,no,,Rydak Syndicate Limited,owner_and_operator,Baradighi Tea Estate is listed under Rydak Syndicate operations in Jalpaiguri/Dooars.,high,no,Observation date used because the live page has no publication date.
